ID;MARCA;Categoria;ESTUCHE;VARIANTE;TAMAÑO (ML);PROVEEDOR; PRECIO COSTO ; PRECIO MAYORISTA ; PRECIO MINORISTA ;FECHA PRECIO;ACUERDO % OFF;Stock;
145;MONSTER;ENERGIZANTE;LATA;PIPELINE PUNCH;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
146;MONSTER;ENERGIZANTE;LATA;ROSSI;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
147;MONSTER;ENERGIZANTE;LATA;ULTRA;473;DBA; 2.592 ; 2.880 ; 2.981 ;13-abr;10;true;
148;MONSTER;ENERGIZANTE;LATA;ULTRA PARADISE;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
149;MONSTER;ENERGIZANTE;LATA;ULTRA PEACHY KEEN;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
150;MONSTER;ENERGIZANTE;LATA;ULTRA SUNRISE;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
151;MONSTER;ENERGIZANTE;LATA;WATERMELON;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
152;MONSTER;ENERGIZANTE;LATA;ANANA;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
153;RED BULL;ENERGIZANTE;LATA;SUGARFREE;250;DBA; 2.011 ; 2.234 ; 2.312 ;13-abr;10;true;
154;RED BULL;ENERGIZANTE;LATA;ORIGINAL;250;DBA; 2.011 ; 2.234 ; 2.312 ;13-abr;10;true;
155;RED BULL;ENERGIZANTE;LATA;ORIGINAL;355;DBA; 2.711 ; 3.012 ; 3.117 ;13-abr;10;true;
156;RED BULL;ENERGIZANTE;LATA;GREEN;250;DBA; 2.011 ; 2.234 ; 2.312 ;13-abr;10;true;
157;RED BULL;ENERGIZANTE;LATA;RED;250;DBA; 2.011 ; 2.234 ; 2.312 ;13-abr;10;true;
158;RED BULL;ENERGIZANTE;LATA;SPRING;250;DBA; 2.011 ; 2.234 ; 2.312 ;13-abr;10;true;
159;SPEED;ENERGIZANTE;LATA;ORIGINAL;250;DBA; 1.300 ; 1.444 ; 1.495 ;13-abr;10;true;
160;SPEED;ENERGIZANTE;LATA;ORIGINAL;473;DBA; 2.173 ; 2.414 ; 2.498 ;13-abr;10;true;
161;SPEED;ENERGIZANTE;LATA;SIN TAURINA;250;DBA; 1.300 ; 1.444 ; 1.495 ;13-abr;10;true;
162;PALAU;AGUA;BOTELLA;SIN GAS;500;DBA; 506 ; 562 ; 582 ;13-abr;10;true;
163;PALAU;AGUA;BOTELLA;CON GAS;500;DBA; 628 ; 698 ; 722 ;13-abr;10;true;
164;POWERARE;AGUA SABORIZADA;BOTELLA;FRUTAS TROPICALES;500;DBA; 1.231 ; 1.368 ; 1.416 ;13-abr;10;true;
165;POWERADE;AGUA SABORIZADA;BOTELLA;MANZANA;500;DBA; 1.231 ; 1.368 ; 1.416 ;13-abr;10;true;
166;POWERADE;AGUA SABORIZADA;BOTELLA;MOUNTAIN BLAST;500;DBA; 1.231 ; 1.368 ; 1.416 ;13-abr;10;true;
167;POWERADE;AGUA SABORIZADA;BOTELLA;MOUNTAIN UVA;500;DBA; 1.231 ; 1.368 ; 1.416 ;13-abr;10;true;
168;COCA COLA;GASEOSA;BOTELLA;ORIGINAL;1750;DBA; 3.253 ; 3.614 ; 3.740 ;13-abr;10;true;
169;COCA COLA;GASEOSA;BOTELLA;ORIGINAL;2250;DBA; 3.715 ; 4.128 ; 4.272 ;13-abr;10;true;
170;COCA COLA;GASEOSA;BOTELLA;ZERO;1750;DBA; 3.253 ; 3.614 ; 3.740 ;13-abr;10;true;
171;COCA COLA;GASEOSA;BOTELLA;ZERO;2250;DBA; 3.715 ; 4.128 ; 4.272 ;13-abr;10;true;
172;COCA COLA;GASEOSA;BOTELLA;LIGHT;1750;DBA; 3.253 ; 3.614 ; 3.740 ;13-abr;10;true;
173;COCA COLA;GASEOSA;BOTELLA;LIGHT;2250;DBA; 3.715 ; 4.128 ; 4.272 ;13-abr;10;true;
174;FANTA;GASEOSA;BOTELLA;NARANJA;2250;DBA; 3.860 ; 4.289 ; 4.439 ;13-abr;10;true;
175;SCHWEPPES;GASEOSA;LATA;GINGER ALE;310;DBA; 1.224 ; 1.360 ; 1.408 ;13-abr;10;true;
176;SCHWEPPES;GASEOSA;BOTELLA;POMELO ZERO;1500;DBA; 2.296 ; 2.551 ; 2.640 ;13-abr;10;true;
177;SCHWEPPES;GASEOSA;BOTELLA;TONICA;1500;DBA; 2.296 ; 2.551 ; 2.640 ;13-abr;10;true;
178;SCHWEPPES;GASEOSA;BOTELLA;TONICA ZERO;1500;DBA; 2.066 ; 2.296 ; 2.376 ;13-abr;10;true;
179;SPRITE;GASEOSA;BOTELLA;ORIGINAL;1750;DBA; 3.253 ; 3.614 ; 3.740 ;13-abr;10;true;
180;SPRITE;GASEOSA;BOTELLA;ORIGINAL;2250;DBA; 3.715 ; 4.128 ; 4.272 ;13-abr;10;true;
181;SPRITE;GASEOSA;BOTELLA;ZERO;2250;DBA; 3.715 ; 4.128 ; 4.272 ;13-abr;10;true;
182;STAPLER;PULPA;LATA;ANANA;880;DBA; 3.439 ; 3.821 ; 3.955 ;13-abr;10;true;
183;STAPLER;PULPA;LATA;DURAZNO;880;DBA; 3.439 ; 3.821 ; 3.955 ;13-abr;10;true;
184;STAPLER;PULPA;LATA;FRUTILLA;880;DBA; 3.439 ; 3.821 ; 3.955 ;13-abr;10;true;
185;STAPLER;PULPA;LATA;FRUTOS  DEL BOSQUE;880;DBA; 4.248 ; 4.720 ; 4.885 ;13-abr;10;true;
186;STAPLER;PULPA;LATA;MANGO;880;DBA; 3.710 ; 4.122 ; 4.266 ;13-abr;10;true;
187;STAPLER;PULPA;LATA;MARACUYA;880;DBA; 3.920 ; 4.356 ; 4.508 ;13-abr;10;true;
188;CEPITA;JUGO;TETRA;NARANJA;1000;DBA; 1.967 ; 2.186 ; 2.263 ;13-abr;10;true;
189;MOSQUITA MUERTA;VINO;BOTELLA;MALBEC, CORDERO PIEL DE LOBO;750;DBA; 3.844 ; 4.271 ; 4.420 ;13-abr;10;true;
190;LUIGI BOSCA;VINO;BOTELLA;MALBEC, LUIGI BOSCA;750;DBA; 12.744 ; 14.160 ; 14.656 ;13-abr;10;true;
191;LA RURAL;VINO;BOTELLA;MALBEC, RUTINI;750;DBA; 23.144 ; 25.715 ; 26.615 ;13-abr;10;true;
192;ANGELICA ZAPATA;VINO;BOTELLA;MALBEC, D.V CATENA;750;DBA; 17.798 ; 19.775 ; 20.467 ;13-abr;10;true;
193;BODEGA NAIARA;VINO;BOTELLA;MALBEC CLANDESTINO;750;DBA;;;;14-abr;0;true;
194;BODEGA NAIARA;VINO;BOTELLA;MALBEC, CLANDESTINO RESERVA;750;DBA;;;;15-abr;0;true;
195;BODEGA NAIARA;VINO;BOTELLA;MALBEC, NAIARA;750;DBA;;;;16-abr;0;true;
196;BODEGA NAIARA;VINO;BOTELLA;MALBEC, NAIARA RESERVA;750;DBA;;;;17-abr;0;true;
197;BODEGA NAIARA;VINO;BOTELLA;MALBEC, NAIARA SPECIAL EDITION;750;DBA;;;;18-abr;0;true;
198;BODEGA NAIARA;VINO;BOTELLA;MALBEC, NAIARA GRAN RESERVA;750;DBA;;;;19-abr;0;true;
